Decile,Target_Mean,Simulated_Mean,Target_Share_Pct,Simulated_Share_Pct,N_Samples,Min,Max
1,11497,10010.057564166105,2.9,2.3794873019782314,50000,0.12760038221433906,16920.85444437335
2,17388,20291.01124201886,4.5,3.4070350857148415,35318,16921.081382780896,22993.960616030352
3,21570,23326.233080486025,5.5,7.173066600214348,64682,22994.0,25936.528886723434
4,25792,28729.483046027763,6.6000000000000005,3.814150323446841,27925,25936.67804930333,31357.64344456066
5,30547,32071.041353782934,7.8,10.989413757354647,72075,31358.0,36007.48415115857
6,35883,38449.197308373616,9.2,4.225852645763181,23118,36008.30073418129,40867.80842046871
7,41743,42612.053459860304,10.7,15.575211327318502,76882,40868.0,49673.067902398805
8,49038,51121.0264918614,12.6,2.754606616265133,11334,49673.14578274354,52587.67763012204
9,60990,57786.0479245363,15.6,24.35885791630764,88666,52588.0,76490.22279486943
10,96174,106526.2524780162,24.6,25.322318425636624,50000,76492.0,10444780.152089914
