year,S80_S20,S95_S5,S75_S25,GINI,S90_S10
2003,4.1,10.5,3.5,0.276,6.3
2004,3.9,9.2,3.4,0.265,5.9
2005,3.9,8.6,3.4,0.265,5.8
2006,4.2,10.6,3.6,0.278,6.6
2007,4.0,8.2,3.5,0.274,5.8
2008,4.1,9.2,3.5,0.277,6.1
2009,4.3,9.9,3.7,0.292,6.6
2010,4.1,9.6,3.6,0.279,6.2
2011,4.0,9.4,3.5,0.272,5.9
2012,4.1,9.6,3.6,0.28,6.1
2013,4.6,12.8,4.0,0.304,7.3
2014,4.4,12.9,3.8,0.287,7.1
2015,4.2,10.7,3.7,0.285,6.5
2016,4.6,13.9,3.9,0.296,7.6
2017,4.6,13.0,3.9,0.292,7.4
2018,5.2,18.7,4.4,0.313,9.3
2019,5.3,17.3,4.5,0.323,9.2
2020,5.0,16.5,4.3,0.312,8.2
2021,4.6,10.5,4.0,0.296,6.9
2022,4.5,14.5,3.9,0.291,7.4
2023,4.8,12.3,4.2,0.306,6.7
2024,4.7,10.9,4.1,0.301,8.9
