Year_1_Result,Year_2_Result
77.4,98.6
43.9,10.6
85.9,28.9
69.7,20.3
9.4,7.8
97.6,92.8
76.1,62.8
78.6,94.3
12.8,49.7
45.0,65.0
37.1,40.5
92.7,5.3
64.4,92.7
82.3,68.5
44.3,61.9
22.7,85.0
55.5,90.9
6.4,96.1
82.8,84.6
63.2,26.6
75.8,84.3
35.5,62.9
97.1,58.3
89.3,48.5
77.8,44.4
19.5,74.4
46.7,74.0
4.4,44.5
15.4,0.0
68.3,25.0
74.5,55.3
96.8,17.0
32.6,47.0
37.0,79.2
47.0,64.1
18.9,27.6
13.0,23.2
47.6,20.2
22.7,53.8
67.0,34.3
43.7,58.1
83.3,48.2
70.0,42.1
31.2,26.9
83.2,21.1
80.5,46.2
38.7,94.8
28.8,46.8
68.2,11.9
14.0,20.0
20.0,71.7
0.7,57.1
78.7,80.5
66.5,82.4
70.5,89.2
78.1,44.6
45.9,29.3
56.9,67.2
14.0,84.0
11.5,3.8
66.8,73.7
47.1,28.1
56.5,60.6
76.5,4.4
63.5,80.8
55.4,39.5
55.9,64.8
30.4,36.1
3.1,88.1
43.7,4.4
21.5,49.7
40.9,76.4
85.3,44.7
23.4,46.6
5.8,31.0
28.1,30.6
29.4,1.5
66.2,50.0
55.7,20.4
78.4,14.2
66.4,17.1
40.6,24.8
81.4,39.7
16.7,43.0
2.3,22.2
9.0,93.7
72.2,48.1
46.2,84.4
16.1,13.8
50.1,83.2
15.2,61.3
69.6,33.1
44.6,0.9
38.1,13.5
30.2,0.6
63.0,93.0
36.2,72.2
8.8,17.2
11.8,68.7
96.2,51.1
90.9,42.9
70.0,15.9
26.6,95.6
96.9,71.3
77.9,70.9
71.7,56.7
44.9,6.0
27.2,69.9
9.6,37.1
90.3,55.7
45.6,18.0
20.2,89.4
30.6,17.7
57.9,8.2
17.7,70.7
85.7,59.9
75.9,6.0
71.9,75.6
43.2,77.3
62.7,65.3
58.4,43.3
65.0,64.8
8.4,14.2
41.6,75.7
4.2,8.2
49.4,51.3
33.0,36.1
14.5,87.3
10.3,61.5
58.8,82.7
17.1,39.9
92.5,42.1
58.1,1.6
34.7,78.2
59.1,52.2
2.3,72.8
95.9,15.6
48.2,2.3
78.3,97.4
8.3,87.0
48.7,31.2
49.1,31.3
93.8,71.2
57.2,31.9
47.3,72.6
26.7,44.4
33.2,29.4
52.1,20.0
43.9,16.1
2.2,81.9
82.6,5.9
89.6,53.3
14.0,80.2
55.4,99.9
10.9,14.4
67.2,16.8
28.1,87.8
65.9,33.8
72.7,98.7
76.9,18.3
10.8,52.9
91.6,58.9
23.0,80.1
3.7,69.7
55.5,97.5
37.1,49.1
83.0,77.1
80.8,94.5
31.7,95.4
95.3,82.2
29.1,77.5
51.5,79.4
25.6,55.1
93.6,85.3
16.5,95.0
4.5,18.4
43.5,44.7
99.2,5.9
89.2,78.8
74.9,54.1
89.1,19.4
89.3,69.3
51.9,47.9
31.6,18.0
77.2,54.8
66.2,62.0
37.4,27.8
9.4,66.6
74.7,65.2
26.2,1.8
93.7,22.3
24.1,33.1
12.3,30.0
83.1,43.3
15.3,38.2
17.9,10.7
59.9,71.6
87.5,97.2
19.6,70.8
31.0,57.9
77.7,59.9
97.2,42.3
50.1,89.2
14.4,95.0
1.4,73.3
23.0,82.7
13.2,74.9
67.8,17.7
12.2,81.4
50.6,83.2
69.4,41.9
58.1,0.7
20.0,21.3
80.4,51.4
71.5,67.8
73.9,54.9
13.1,12.1
12.4,99.9
92.8,70.4
39.8,7.3
30.1,29.6
48.9,89.9
66.3,44.6
95.6,66.0
28.6,96.3
92.5,82.8
2.5,30.1
55.5,44.5
63.4,36.4
10.6,56.3
14.0,70.5
41.9,64.8
96.6,24.2
59.6,78.5
93.3,23.6
80.4,19.0
46.7,54.2
78.5,75.3
1.8,97.6
10.9,24.7
82.9,16.9
79.7,90.5
23.3,29.8
