quarter,employment_monetary,employment_productivity,employment_baseline,output_monetary,output_productivity,output_baseline,vacancies_monetary,vacancies_productivity,vacancies_baseline,separation_rate_monetary,separation_rate_productivity,separation_rate_baseline,tightness_monetary,tightness_productivity,tightness_baseline,job_finding_monetary,job_finding_productivity,job_finding_baseline
0,-0.01777777777777778,-0.01777777777777778,-0.01777777777777778,-0.08277278323515735,0.004692704595530062,-0.007749741965316415,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,10.743843569761054,10.743843569761054,10.743843569761054,3.0623280120066747,3.0623280120066747,3.0623280120066747
1,-0.17886189536244346,-0.1215611546217028,-0.1215611546217028,-0.16096853630462526,-0.09542342238076251,-0.10646564338949305,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,2.07322028890745,3.394486795522,3.394486795522,0.7944197103518469,1.216801368520357,1.216801368520357
2,0.0023099476742615144,-0.027811660936135962,-0.027811660936135962,-0.06530003196766376,-0.004986625089975938,-0.017293696410465853,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,15.220711682713674,9.274709883602426,9.274709883602426,3.9711610443511045,2.7372978756913993,2.7372978756913993
3,-0.2106804230053344,-0.10864330785462373,-0.10864330785462373,-0.1912334470617849,-0.0829620357259605,-0.09417854186273023,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,1.581094234144567,3.816375677284177,3.816375677284177,0.6237457465619871,1.342834479578906,1.342834479578906
4,0.015422209640348905,-0.036092402714599015,-0.036092402714599015,-0.05389469429343707,-0.012974761731523565,-0.02517011086122245,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,20.319396270950833,8.293350685558508,8.293350685558508,4.897743094709938,2.5107638431720662,2.5107638431720662
5,-0.23628593047889546,-0.0988875690504536,-0.0988875690504536,-0.2155887034481454,-0.07355102199170249,-0.0848991506981821,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,1.2618187943033394,4.180459289590753,4.180459289590753,0.5081196852766283,1.448741089623171,1.448741089623171
6,0.024522811653722387,-0.0428002395632372,-0.0428002395632372,-0.045978787848788394,-0.019445573012644823,-0.031550421285265084,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,26.07382732440522,7.614304504189767,7.614304504189767,5.8469561000461985,2.348980252936448,2.348980252936448
7,-0.25748238722848316,-0.0915024643653144,-0.0915024643653144,-0.23575019171982525,-0.0664268745523443,-0.07787464168454916,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,1.0364817450868111,4.487253414058877,4.487253414058877,0.42386099660459253,1.5360933159184509,1.5360933159184509
8,0.03121422910132199,-0.04816437459146039,-0.04816437459146039,-0.0401584438298489,-0.024620163008990614,-0.036652639393550124,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.46506666666666663,0.40293333333333337,0.40293333333333337,32.62608647465123,7.131888917689904,7.131888917689904,6.83747338470097,2.23128517689556,2.23128517689556
9,-0.275666907837125,-0.08589515257620284,-0.08589515257620284,-0.253046808947343,-0.06101770059649392,-0.07254112051129813,0.8732020426506555,0.8732020426506555,0.8732020426506555,0.40293333333333337,0.40293333333333337,0.40293333333333337,0.8658445549097116,4.740938038190151,4.740938038190151,0.35844037757227976,1.6071035649768521,1.6071035649768521
