quarter,employment_monetary,employment_productivity,output_monetary,output_productivity,vacancies_monetary,vacancies_productivity,separation_monetary,separation_productivity,tightness_monetary,tightness_productivity,job_finding_monetary,job_finding_productivity
0,0.0005376441019179983,0.001807165271473213,0.0006720551273974979,0.003614330542946426,0.0015059710595610107,0.0029632728827268715,-0.00026882205095899917,-0.0005421495814419638,0.001075855778026612,0.001517540665548301,0.0007530990446186284,0.0010622784658838107
1,0.0028665511819279156,0.006071358068416199,0.0035831889774098945,0.012142716136832397,0.0049088679510573986,0.0063706183061814975,-0.0014332755909639578,-0.0018214074205248594,0.002615627005515066,0.0015135318514485378,0.0018309389038605461,0.0010594722960139765
2,0.00836311427009247,0.01146422226157458,0.010453892837615589,0.02292844452314916,0.008927094360845919,0.00805976752767207,-0.004181557135046235,-0.0034392666784723736,0.002236602944771942,-0.0011116102815875942,0.0015656220613403592,-0.000778127197111316
3,0.0151086471295786,0.014762709359507428,0.01888580891197325,0.029525418719014856,0.010845766592085325,0.007652590869786464,-0.0075543235647893,-0.0044288128078522285,-0.0012411511115775556,-0.004157576617819479,-0.0008688057781042888,-0.0029103036324736355
4,0.018768895825595554,0.015093603695029899,0.023461119781994444,0.030187207390059798,0.01018258433322927,0.006390894746788171,-0.009384447912797777,-0.00452808110850897,-0.004832532327247174,-0.0056839882092357494,-0.003382772629073022,-0.003978791746465024
5,0.018363115147053837,0.013987476401965408,0.022953893933817297,0.027974952803930815,0.008482095030282164,0.005145634785626617,-0.009181557573526919,-0.004196242920589622,-0.006208397087360906,-0.0060443463359457095,-0.004345877961152634,-0.004231042435161997
6,0.01614629197691376,0.012638107244062988,0.0201828649711422,0.025276214488125975,0.006826824759470832,0.004118720165981885,-0.00807314598845688,-0.0037914321732188962,-0.006090208822060175,-0.005991765629268506,-0.004263146175442122,-0.004194235940487954
7,0.013790186156768854,0.011377615025877577,0.01723773269596107,0.022755230051755154,0.0054642252294274055,0.0032950577307991526,-0.006895093078384427,-0.0034132845077632728,-0.005567923695987678,-0.00580703428990291,-0.003897546587191374,-0.004064924002932037
8,0.011726082908214707,0.010239975920310286,0.014657603635268386,0.020479951840620573,0.004371482181058981,0.002636047836339089,-0.0058630414541073535,-0.003071992776093086,-0.005009384145512785,-0.00555593289990914,-0.0035065689018589493,-0.0038891530299363978
9,0.00996733366800979,0.009215980805828907,0.012459167085012239,0.018431961611657815,0.0034971878094718924,0.0021088382874199984,-0.004983666834004895,-0.002764794241748672,-0.004476679124935939,-0.005263946357243128,-0.003133675387455157,-0.0036847624500701893
10,0.008472236921207854,0.008294382752769107,0.01059029615150982,0.016588765505538214,0.0027977502705134227,0.0016870706300478665,-0.004236118460603927,-0.002488314825830732,-0.003980039266452861,-0.004948435572167419,-0.0027860274865170024,-0.003463904900517193
11,0.00720140141972413,0.007464944477659998,0.009001751774655163,0.014929888955319996,0.0022382002165505727,0.0013496565040386674,-0.003600700709862065,-0.0022394833432979994,-0.003522920919228732,-0.004622299078089332,-0.002466044643460112,-0.003235609354662532
12,0.006121191206989246,0.006718450029894559,0.0076514890087365575,0.013436900059789118,0.0017905601732409262,0.0010797252032309346,-0.003060595603494623,-0.0020155350089683674,-0.003106392792350471,-0.0042950348206847126,-0.00217447495464533,-0.0030065243744792987
13,0.005203012525941607,0.006046605026905104,0.006503765657427009,0.012093210053810208,0.001432448138592742,0.0008637801625847477,-0.0026015062629708035,-0.0018139815080715311,-0.0027299618821605438,-0.003973503858939336,-0.0019109733175123806,-0.002781452701257535
14,0.004422560647050368,0.005441944524214593,0.00552820080881296,0.010883889048429187,0.0011459585108741935,0.0006910241300677983,-0.002211280323525184,-0.001632583357264378,-0.002392090006766101,-0.0036625314893038766,-0.0016744630047362706,-0.0025637720425127136
15,0.0037591765499928125,0.004897750071793134,0.004698970687491016,0.009795500143586268,0.0009167668086993548,0.0005528193040542387,-0.0018795882749964063,-0.0014693250215379401,-0.0020905744312948956,-0.003365380753380269,-0.0014634021019064268,-0.002355766527366188
